task,base_rule,inserted_rule_idx,baseline_acc,new_acc,accuracy_change,usage_ratio
0,12,9,0.9578,0.9578,0.0,0.049924734979867935
1,0,5,0.9578,0.9578,0.0,0.04960460960865021
2,17,16,0.9578,0.9578,0.0,0.049545060843229294
3,12,10,0.9578,0.9578,0.0,0.049418602138757706
4,14,1,0.9578,0.9578,0.0,0.04920649528503418
5,6,14,0.9578,0.9578,0.0,0.04925604164600372
6,9,13,0.9578,0.9578,0.0,0.04938101768493652
7,6,1,0.9578,0.946,-0.011800000000000033,0.04929310455918312
8,19,6,0.9578,0.9578,0.0,0.04904084652662277
9,3,2,0.9578,0.9578,0.0,0.04877003654837608
10,8,5,0.9578,0.9578,0.0,0.04876785725355148
11,3,19,0.9578,0.9578,0.0,0.048952192068099976
12,16,0,0.9578,0.9578,0.0,0.04894567281007767
13,16,17,0.9578,0.9578,0.0,0.049283768981695175
14,10,0,0.9578,0.9578,0.0,0.04955868050456047
15,15,4,0.9578,0.9568,-0.0010000000000000009,0.04954993724822998
16,14,12,0.9578,0.9578,0.0,0.049462053924798965
17,0,9,0.9578,0.9578,0.0,0.04980390518903732
18,8,16,0.9578,0.9578,0.0,0.04984038323163986
