task,rule_idx,baseline_acc,modified_acc,accuracy_drop,prediction_change_ratio
0,14,0.9578,0.9578,0.0,0.0
0,14,0.9578,0.9578,0.0,
0,12,0.9578,0.9578,0.0,0.0
0,12,0.9578,0.9578,0.0,
1,3,0.9578,0.9488,0.009000000000000008,0.009
1,3,0.9578,0.9488,0.009000000000000008,
1,10,0.9578,0.9578,0.0,0.0
1,10,0.9578,0.9578,0.0,
2,13,0.9578,0.9464,0.011399999999999966,0.0118
2,13,0.9578,0.9464,0.011399999999999966,
2,18,0.9578,0.9578,0.0,0.0
2,18,0.9578,0.9578,0.0,
3,8,0.9578,0.9464,0.011399999999999966,0.012
3,8,0.9578,0.9464,0.011399999999999966,
3,11,0.9578,0.9578,0.0,0.0
3,11,0.9578,0.9578,0.0,
4,9,0.9578,0.9476,0.010199999999999987,0.0102
4,9,0.9578,0.9476,0.010199999999999987,
4,15,0.9578,0.9578,0.0,0.0
4,15,0.9578,0.9578,0.0,
5,10,0.9578,0.9486,0.009199999999999986,0.0094
5,10,0.9578,0.9486,0.009199999999999986,
5,3,0.9578,0.9578,0.0,0.0
5,3,0.9578,0.9578,0.0,
6,2,0.9578,0.9572,0.0005999999999999339,0.0006
6,2,0.9578,0.9572,0.0005999999999999339,
6,17,0.9578,0.9578,0.0,0.0
6,17,0.9578,0.9578,0.0,
7,14,0.9578,0.9488,0.009000000000000008,0.0094
7,14,0.9578,0.9488,0.009000000000000008,
7,12,0.9578,0.9436,0.01419999999999999,0.0144
7,12,0.9578,0.9436,0.01419999999999999,
8,2,0.9578,0.9484,0.009399999999999964,0.0094
8,2,0.9578,0.9484,0.009399999999999964,
8,7,0.9578,0.9484,0.009399999999999964,0.0094
8,7,0.9578,0.9484,0.009399999999999964,
9,9,0.9578,0.9498,0.008000000000000007,0.0084
9,9,0.9578,0.9498,0.008000000000000007,
9,3,0.9578,0.9544,0.0033999999999999586,0.0038
9,3,0.9578,0.9544,0.0033999999999999586,
10,12,0.9578,0.9472,0.010599999999999943,0.0112
10,12,0.9578,0.9472,0.010599999999999943,
10,5,0.9578,0.9578,0.0,0.0
10,5,0.9578,0.9578,0.0,
11,9,0.9578,0.9564,0.0013999999999999568,0.0016
11,9,0.9578,0.9564,0.0013999999999999568,
11,0,0.9578,0.9504,0.007399999999999962,0.0076
11,0,0.9578,0.9504,0.007399999999999962,
12,12,0.9578,0.9508,0.007000000000000006,0.0072
12,12,0.9578,0.9508,0.007000000000000006,
12,18,0.9578,0.9572,0.0005999999999999339,0.0006
12,18,0.9578,0.9572,0.0005999999999999339,
13,18,0.9578,0.95,0.007800000000000029,0.008
13,18,0.9578,0.95,0.007800000000000029,
13,13,0.9578,0.9576,0.00019999999999997797,0.0002
13,13,0.9578,0.9576,0.00019999999999997797,
14,12,0.9578,0.9476,0.010199999999999987,0.0104
14,12,0.9578,0.9476,0.010199999999999987,
14,11,0.9578,0.951,0.006800000000000028,0.007
14,11,0.9578,0.951,0.006800000000000028,
15,4,0.9578,0.948,0.009800000000000031,0.01
15,4,0.9578,0.948,0.009800000000000031,
15,19,0.9578,0.9578,0.0,0.0
15,19,0.9578,0.9578,0.0,
16,10,0.9578,0.9474,0.010399999999999965,0.0106
16,10,0.9578,0.9474,0.010399999999999965,
16,4,0.9578,0.9578,0.0,0.0
16,4,0.9578,0.9578,0.0,
17,0,0.9578,0.9478,0.010000000000000009,0.0104
17,0,0.9578,0.9478,0.010000000000000009,
17,2,0.9578,0.9578,0.0,0.0
17,2,0.9578,0.9578,0.0,
18,11,0.9578,0.9578,0.0,0.0
18,11,0.9578,0.9578,0.0,
18,3,0.9578,0.9578,0.0,0.0
18,3,0.9578,0.9578,0.0,
