task,rule,baseline_global,modified_global,drop,neighbor_1,neighbor_2,neighbor_3,similarity_1,similarity_2,similarity_3,spillover_1,spillover_2,spillover_3,max_similarity,max_spillover,original_rule,edited_rule,equiv_size
0,8,0.9578,0.9384,0.019399999999999973,64,113,81,0.0881439745426178,0.08360207825899124,0.08318725973367691,0.0012313388288021088,0.00043418630957603455,0.001198846846818924,0.0881439745426178,0.0012313388288021088,0 & 10,3 & 10,4
0,14,0.9578,0.9384,0.019399999999999973,110,53,89,0.15112319588661194,0.11925666779279709,0.11741413176059723,0.0011325962841510773,0.00043418630957603455,0.0009200535714626312,0.15112319588661194,0.0011325962841510773,0 & 10,3 & 10,4
0,18,0.9578,0.9384,0.019399999999999973,114,10,99,0.09485799819231033,0.07812097668647766,0.07475882768630981,-0.052455708384513855,0.0011325962841510773,0.011995643377304077,0.09485799819231033,0.011995643377304077,0 & 10,3 & 10,4
0,19,0.9578,0.9384,0.019399999999999973,173,284,174,0.08210544288158417,0.07398176193237305,0.07148340344429016,0.00043418630957603455,0.0012313388288021088,-0.052455708384513855,0.08210544288158417,0.0012313388288021088,0 & 10,3 & 10,4
1,20,0.9578,0.9374,0.020399999999999974,122,72,161,0.08820740878582001,0.07877372205257416,0.07830639183521271,-0.0010235495865345001,0.0058038197457790375,0.009636472910642624,0.08820740878582001,0.009636472910642624,1 & 10,4 & 10,9
1,21,0.9578,0.9374,0.020399999999999974,160,255,95,0.08810083568096161,0.08346381783485413,0.0830431878566742,-0.005216199904680252,0.010977301746606827,0.010977301746606827,0.08810083568096161,0.010977301746606827,1 & 10,4 & 10,9
1,23,0.9578,0.9374,0.020399999999999974,110,53,162,0.11139277368783951,0.09993241727352142,0.09496994316577911,-0.0013672299683094025,-0.000963650643825531,-0.0010235495865345001,0.11139277368783951,-0.000963650643825531,1 & 10,4 & 10,9
1,24,0.9578,0.9374,0.020399999999999974,178,339,199,0.09655111283063889,0.08230680227279663,0.0754041001200676,-0.0007457062602043152,-0.0012619085609912872,-0.0012619085609912872,0.09655111283063889,-0.0007457062602043152,1 & 10,4 & 10,9
1,25,0.9578,0.9374,0.020399999999999974,348,98,301,0.08146034926176071,0.07887781411409378,0.07623264193534851,-0.0014007389545440674,-0.0007457062602043152,0.009636472910642624,0.08146034926176071,0.009636472910642624,1 & 10,4 & 10,9
1,27,0.9578,0.9374,0.020399999999999974,126,133,143,0.10952047258615494,0.1059374138712883,0.08899897336959839,-0.000812087208032608,-0.000963650643825531,-0.04414017125964165,0.10952047258615494,-0.000812087208032608,1 & 10,4 & 10,9
1,32,0.9578,0.9374,0.020399999999999974,280,184,78,0.09510459750890732,0.09467073529958725,0.07868438959121704,-0.005216199904680252,0.00914548709988594,-0.0007457062602043152,0.09510459750890732,0.00914548709988594,1 & 10,4 & 10,9
1,35,0.9578,0.9374,0.020399999999999974,153,101,163,0.10125630348920822,0.09179221093654633,0.0914750024676323,-0.000963650643825531,0.009636472910642624,-0.04414017125964165,0.10125630348920822,0.009636472910642624,1 & 10,4 & 10,9
1,37,0.9578,0.9374,0.020399999999999974,31,98,304,0.08009608834981918,0.07483318448066711,0.07202117145061493,-0.0013324283063411713,-0.0007457062602043152,0.00914548709988594,0.08009608834981918,0.00914548709988594,1 & 10,4 & 10,9
2,53,0.9578,0.9464,0.011399999999999966,110,133,68,0.18040159344673157,0.15904013812541962,0.15514689683914185,0.0024240948259830475,-0.055456534028053284,0.002799946814775467,0.18040159344673157,0.002799946814775467,2 & 10,5 & 10,2
2,54,0.9578,0.9464,0.011399999999999966,203,81,87,0.09297824651002884,0.09248684346675873,0.08132646977901459,0.004006199538707733,0.0022713392972946167,0.0026258379220962524,0.09297824651002884,0.004006199538707733,2 & 10,5 & 10,2
3,64,0.9578,0.9464,0.011399999999999966,139,359,8,0.09275314211845398,0.09141866862773895,0.0881439745426178,0.0019223205745220184,0.0019223205745220184,-0.06224508211016655,0.09275314211845398,0.0019223205745220184,3 & 10,6 & 10,3
3,68,0.9578,0.9464,0.011399999999999966,189,53,162,0.1856841892004013,0.15514689683914185,0.15213608741760254,0.0018207170069217682,0.0011046603322029114,0.0019091255962848663,0.1856841892004013,0.0019091255962848663,3 & 10,6 & 10,3
3,72,0.9578,0.9464,0.011399999999999966,59,76,189,0.09894587844610214,0.08941428363323212,0.08634400367736816,0.0019223205745220184,0.0021104365587234497,0.0018207170069217682,0.09894587844610214,0.0021104365587234497,3 & 10,6 & 10,3
4,89,0.9578,0.947,0.010800000000000032,110,68,189,0.16712218523025513,0.14626413583755493,0.1312180459499359,0.0024439767003059387,0.0012620314955711365,-0.05239268019795418,0.16712218523025513,0.0024439767003059387,4 & 10,7 & 10,2
4,99,0.9578,0.947,0.010800000000000032,235,142,35,0.10210258513689041,0.0878620520234108,0.08664201945066452,0.0018845275044441223,0.0021179169416427612,0.0018845275044441223,0.10210258513689041,0.0021179169416427612,4 & 10,7 & 10,2
5,110,0.9578,0.9486,0.009199999999999986,53,89,14,0.18040159344673157,0.16712218523025513,0.15112319588661194,0.002121575176715851,0.005086362361907959,0.00434807687997818,0.18040159344673157,0.005086362361907959,5 & 10,8 & 10,1
6,122,0.9578,0.9482,0.009599999999999942,229,218,258,0.13352780044078827,0.11577688157558441,0.10899222642183304,0.0026840344071388245,0.0015679635107517242,0.0015679635107517242,0.13352780044078827,0.0026840344071388245,3 & 13,6 & 12,3
